For top 19 features, C:1, gamma:1, max_iter:20, sensitivity:1.0, F1 score:0.535947712418
 
For top 22 features, C:1, gamma:0.001, max_iter:20, sensitivity:1.0, F1 score:0.532467532468
 
For top 22 features, C:1, gamma:0.01, max_iter:20, sensitivity:1.0, F1 score:0.532467532468
 
For top 22 features, C:1, gamma:0.1, max_iter:20, sensitivity:1.0, F1 score:0.532467532468
 
For top 22 features, C:1, gamma:1, max_iter:20, sensitivity:1.0, F1 score:0.532467532468
 
For top 23 features, C:1, gamma:0.001, max_iter:20, sensitivity:1.0, F1 score:0.535947712418
 
For top 23 features, C:1, gamma:0.01, max_iter:20, sensitivity:1.0, F1 score:0.535947712418
 
For top 23 features, C:1, gamma:0.1, max_iter:20, sensitivity:1.0, F1 score:0.535947712418
 
For top 23 features, C:1, gamma:1, max_iter:20, sensitivity:1.0, F1 score:0.535947712418
 
For top 29 features, C:1, gamma:0.001, max_iter:10, sensitivity:1.0, F1 score:0.535947712418
 
For top 29 features, C:1, gamma:0.01, max_iter:10, sensitivity:1.0, F1 score:0.535947712418
 
For top 29 features, C:1, gamma:0.1, max_iter:10, sensitivity:1.0, F1 score:0.535947712418
 
For top 29 features, C:1, gamma:1, max_iter:10, sensitivity:1.0, F1 score:0.535947712418
 
For top 30 features, C:1, gamma:0.001, max_iter:10, sensitivity:1.0, F1 score:0.535947712418
 
For top 30 features, C:1, gamma:0.01, max_iter:10, sensitivity:1.0, F1 score:0.535947712418
 
For top 30 features, C:1, gamma:0.1, max_iter:10, sensitivity:1.0, F1 score:0.535947712418
 
For top 30 features, C:1, gamma:1, max_iter:10, sensitivity:1.0, F1 score:0.535947712418
 
For top 32 features, C:1, gamma:0.001, max_iter:10, sensitivity:1.0, F1 score:0.55033557047
 
For top 32 features, C:1, gamma:0.01, max_iter:10, sensitivity:1.0, F1 score:0.55033557047
 
For top 32 features, C:1, gamma:0.1, max_iter:10, sensitivity:1.0, F1 score:0.55033557047
 
For top 32 features, C:1, gamma:1, max_iter:10, sensitivity:1.0, F1 score:0.55033557047
 
