inspection_grade
B
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
B
B
A
A
A
B
A
B
A
C
C
C
C
C
A
A
A
A
A
A
A
A
A
A
A
B
A
A
A
B
A
A
A
A
B
A
B
A
A
B
A
A
A
A
B
B
A
B
A
D
D
B
B
B
A
A
B
C
A
A
A
A
A
A
A
A
A
A
B
A
A
A
A
A
A
B
A
A
A
B
A
A
A
A
B
B
A
A
A
A
A
B
A
B
A
B
A
A
A
B
A
A
A
C
A
