zip_code,violations,current_demerits,inspection_demerits,inspection_grade,current_score,inspection_score,rating,review_count,accepts_insurance,ages_allowed,alcohol,ambience,byob,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,byappointmentonly,caters,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,hair_specializes_in,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_counter_service,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi,accepts_apple_pay,accepts_google_pay,gender_neutral_restrooms,good_for,good_for_working,has_gluten_free_options,has_pool_table,liked_by_vegans,liked_by_vegetarians,offers_military_discount,waiter_service
89146,113,132,274,B,95.0,89.54545455,3.5,39,-1,-1,2,0,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,0,0,-1,0,1,2,1,1,1,-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
89110,21,80,53,B,95.0,89.54545455,4.5,5,-1,-1,2,0,-1,-1,1,1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,0,-1,0,-1,-1,-1,1,1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89183,55,114,125,A,95.0,92.85714286,3.5,200,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,0,-1,1,3,-1,-1,1,-1,1,-1,1,0,-1,0,1,1,0,1,1,-1,-1,1,0,0,-1,3,-1,-1,-1,-1,-1,-1,-1
89183,55,114,125,A,95.0,92.85714286,3.5,24,-1,-1,2,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,-1,1,-1,1,0,-1,0,1,1,0,1,1,-1,1,1,0,0,-1,3,-1,-1,-1,-1,-1,-1,-1
89120,101,120,233,B,95.0,87.0,4.5,143,-1,-1,0,1,-1,-1,-1,0,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,-1,0,0,-1,1,1,1,1,1,1,-1,1,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,1
89118,28,56,52,A,95.0,95.0,3.5,11,-1,-1,0,1,-1,-1,-1,1,0,1,1,-1,1,-1,-1,-1,0,-1,-1,1,1,-1,-1,1,-1,1,-1,1,0,-1,1,1,1,0,0,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
89118,28,56,52,A,95.0,95.0,3.5,35,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,0,-1,-1,1,1,-1,-1,1,-1,0,-1,1,0,-1,1,1,1,0,0,1,-1,1,0,0,0,-1,1,-1,-1,-1,-1,1,-1,0
89131,36,78,75,A,95.0,93.57142857,3.0,26,-1,-1,2,1,-1,-1,3,1,-1,1,1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,-1,0,-1,-1,-1,1,2,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
89103,161,74,333,B,95.0,88.2,4.0,696,-1,-1,0,1,-1,-1,-1,1,0,1,0,-1,0,-1,-1,-1,0,-1,-1,1,2,-1,-1,1,-1,1,-1,0,0,-1,1,1,1,0,1,1,-1,1,0,0,0,-1,2,-1,-1,-1,1,1,-1,1
89139,34,33,75,A,95.0,93.46153846,2.0,15,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
