RestaurantName,LocationName,CategoryName,Address,City,State,Zip,Violations,CurrentDemerits,InspectionDemerits
Sunset Station Sonoma Cellar,Sunset Station Hotel & Casino,Restaurant,1301 W Sunset Rd,Henderson,Nevada,89014,24,70.0,63.0
ALEXIS PARK PANTRY,ALEXIS PARK RESORT,Pantry,375 E Harmon Ave,Las Vegas,Nevada,89169-7081,21,47.0,36.0
LAZY JOE'S FISH & CHIPS,LAZY JOE'S FISH & CHIPS,Restaurant,7835 S RAINBOW Blvd 22,Las Vegas,Nevada,89139,7,17.0,19.0
M & M Soul Food Cafe,M & M Soul Food Cafe,Restaurant,3923 W Charleston Blvd,Las Vegas,Nevada,89102-1620,99,68.0,242.0
Thelma's Filipino Restaurant,Thelma's Filipino Restaurant,Restaurant,1205 W Sunset Rd 180,Henderson,Nevada,89014-8638,80,108.0,154.0
Domino's Pizza #7455,Domino's Pizza #7455,Restaurant,2439 S Valley View Blvd,Las Vegas,Nevada,89102-3987,58,39.0,95.0
ROCKIN CRAWFISH - BAR - DELETED,ROCKIN CRAWFISH,Bar / Tavern,4031 S MARYLAND Pkwy,Las Vegas,Nevada,89119,2,6.0,6.0
EL MENUDAZO,EL MENUDAZO,Restaurant,3100 E LAKE MEAD 18,North Las Vegas,Nevada,89030,36,56.0,72.0
ENCORE BEACH CLUB SERVICE BAR 15,ENCORE HOTEL & CASINO,Bar / Tavern,3121 S Las Vegas Blvd,Las Vegas,Nevada,89109-1967,13,0.0,15.0
Gold Strike Main Bar - Stage Bar,Gold Strike Hotel & Gambling Hall,Bar / Tavern,#1 Main St,Jean,Nevada,89019,22,48.0,39.0
I LOVE SUSHI RESTAURANT,I LOVE SUSHI,Restaurant,11041 S Eastern Ave 117,Henderson,Nevada,89052-4962,9,26.0,25.0
Rigo's Taco,Rigo's Taco #8,Restaurant,2737 Las Vegas Blvd,North Las Vegas,Nevada,89030,39,101.0,117.0
Carefree Catering #12,JOSEPH'S COMMISSARY - Carefree Catering,Food Trucks / Mobile Vendor,439 Rock Quarry Way,North Las Vegas,Nevada,89032-7895,2,0.0,3.0
DOTTY'S #53,DOTTY'S #53,Bar / Tavern,1366 W Cheyenne Ave,North Las Vegas,Nevada,89030-7837,11,0.0,7.0
BOUNTY HUNTER BAR,Bounty Hunter,Bar / Tavern,7141 S Eastern Ave,Las Vegas,Nevada,89119-4614,42,6.0,81.0
Kentucky Fried Chicken #212106,Kentucky Fried Chicken #212106,Restaurant,5720 Losee Rd,North Las Vegas,Nevada,89081-2516,44,108.0,79.0
INNOVATIONS INTERNATIONAL CHARTER SCHOOL KITCHEN,INNOVATIONS INTERNATIONAL CHARTER SCHOOL OF NV,Institutional Food Service,950 E SAHARA Ave,Las Vegas,Nevada,89104,12,42.0,9.0
CRYSTALS STARBUCKS STREET LEVEL,CRYSTALS STARBUCKS,Restaurant,3720 S Las Vegas Blvd,Las Vegas,Nevada,89119,5,3.0,3.0
AMERICAN LEADERSHIP ACADEMY K-8 KIT,AMERICAN LEADERSHIP ACADEMY,Institutional Food Service,777 E ANN,North Las Vegas,Nevada,89081,4,9.0,9.0
Bishop Gorman High School - Back Store / Kitc,Bishop Gorman High School,Institutional Food Service,5959 S Hualapai Way,Las Vegas,Nevada,89148-5586,25,92.0,55.0
Mulligan's Bar,Mulligans Bar and Restaurant,Bar / Tavern,2312 E Craig Rd,North Las Vegas,Nevada,89030-3382,24,60.0,54.0
CAFE PAN 2 - GRAND CANAL FOOD COURT,CAFE PAN 2 @ GRAND CANAL,Restaurant,3355 S LAS VEGAS Blvd,Las Vegas,Nevada,89109,41,34.0,93.0
HARD ROCK CAFE BAR FL 3,SHOWCASE MALL - HARD ROCK CAFE,Bar / Tavern,3771 S Las Vegas Blvd,Las Vegas,Nevada,89109-4354,21,44.0,42.0
CHINA OK GO,CHINA OK GO,Restaurant,2263 N Green Valley Pkwy,Henderson,Nevada,89014-5088,119,172.0,276.0
CHINA BISTRO,CHINA BISTRO,Restaurant,1420 NEVADA Hwy,Boulder City,Nevada,89005,43,62.0,101.0
ARIA CAFE PREP STATION A,CITY CENTER HOTELS,Pantry,3730 S Las Vegas Blvd,Las Vegas,Nevada,89109,1,0.0,0.0
