zip_code,violations,current_demerits,inspection_demerits,inspection_grade,rating,review_count,alcohol,ambience,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,caters,coat_check,corkage,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi,accepts_apple_pay,accepts_google_pay,good_for,has_pool_table,waiter_service
89141,3,8,8,A,2.5,30,0,0,0,3,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,-1,0,0,-1,-1,-1,-1
89101,19,0,41,A,3,39,2,2,0,3,0,0,1,2,1,0,0,0,0,1,1,1,1,1,1,3,0,1,0,0,1,2,0,0,1,1,1,-1,-1,-1,-1,-1,-1
89119,10,18,19,A,3,31,0,0,0,3,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,2,1,0,1,1,-1,0,-1,-1,-1,-1,-1
89101,108,143,305,B,4.5,157,2,1,0,3,0,0,1,1,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,1,2,0,1,1,-1,1,0,0,0,2,-1,-1
89117,20,57,43,A,3.5,47,0,1,0,3,1,0,1,1,1,0,0,0,0,0,1,3,1,1,1,0,0,0,0,1,1,1,1,1,1,-1,1,1,0,0,3,-1,1
89149,20,81,45,A,4,91,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0,1,1,0,0,1,-1,1,0,0,-1,-1,-1,-1
89147,26,18,58,B,1.5,6,0,0,0,3,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,-1,-1,-1,-1,-1,-1
89123,31,27,59,A,4,231,0,1,1,3,1,0,1,1,1,0,0,0,0,0,1,3,1,0,1,0,0,0,0,1,1,2,1,1,1,-1,1,0,0,0,3,-1,-1
89119,59,0,185,B,3.5,206,2,1,1,3,1,0,1,1,0,0,0,0,0,1,1,2,1,1,1,1,0,1,0,0,1,1,0,0,1,-1,1,1,-1,-1,2,-1,-1
89128,81,44,180,A,3,35,0,1,0,3,1,0,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,1,0,0,1,-1,1,0,-1,-1,-1,-1,-1
89103,24,0,50,A,3,14,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,2,0,0,1,1,-1,1,0,-1,-1,1,-1
89117,12,21,22,A,4,96,0,1,0,3,1,0,1,1,1,0,0,0,0,1,1,2,1,1,1,1,0,0,0,0,1,1,0,0,1,-1,1,0,1,1,2,-1,-1
89117,12,21,22,A,3.5,13,0,0,0,3,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,-1,-1,-1,-1,-1
89117,14,28,43,A,3,20,1,0,0,3,1,0,1,1,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,1,2,1,1,1,-1,1,0,-1,-1,-1,-1,-1
89104,76,111,178,B,4,1492,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,3,1,0,1,1,0,1,0,0,1,1,0,0,1,-1,1,0,0,0,3,-1,-1
89102,145,188,276,B,2,532,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,1,2,0,1,1,-1,1,0,0,0,2,-1,-1
89134,13,24,25,A,3.5,21,0,1,0,3,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,-1,-1,-1,-1,-1,-1
89107,53,49,135,A,4.5,276,0,1,1,3,1,0,1,1,0,0,0,1,0,0,1,3,1,0,1,1,0,0,0,0,1,1,1,1,1,-1,1,1,0,0,3,-1,-1
89117,2,3,3,A,2.5,19,0,1,0,3,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,2,0,0,1,1,1,0,0,-1,-1,-1,-1
89115,61,3,114,A,3.5,20,0,2,0,3,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,2,0,0,0,0,1,1,0,0,1,1,-1,0,1,-1,1,-1,-1
89108,27,41,57,A,3.5,199,2,1,1,3,1,0,1,1,1,0,0,0,0,0,1,3,1,1,1,1,0,1,0,0,1,2,1,1,1,1,-1,0,1,-1,-1,-1,-1
89103,39,120,92,B,4,1031,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,3,1,0,1,1,0,0,0,0,1,2,0,1,1,-1,1,0,0,0,3,-1,-1
89147,115,160,243,B,3.5,155,0,1,0,3,1,0,1,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,1,1,0,0,1,-1,1,0,-1,-1,1,-1,0
89119,40,72,89,A,2.5,35,0,0,0,3,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,2,0,0,1,1,-1,1,-1,-1,-1,-1,-1
89107,12,0,18,A,4,5,0,0,0,3,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,2,0,0,1,1,1,1,-1,-1,-1,-1,-1
89128,33,102,79,A,4,428,1,1,1,3,1,0,1,1,1,0,0,0,0,0,1,3,1,1,1,1,0,1,0,0,1,2,0,0,1,-1,1,0,0,1,3,-1,-1
89123,121,116,311,B,3.5,461,1,1,1,3,1,0,1,1,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,1,1,1,1,1,-1,1,0,0,0,2,-1,1
89122,49,75,93,A,2.5,5,2,0,0,3,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,-1,1,1,1,-1,1,-1
89146,80,55,173,B,4,36,1,1,0,3,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,1,1,1,-1,1,0,-1,-1,-1,-1,-1
89103,58,72,121,B,3,31,0,1,0,3,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,2,0,0,1,1,-1,1,-1,-1,-1,-1,-1
89135,21,26,35,A,4,461,2,1,1,3,1,0,1,1,1,0,0,1,0,0,1,2,0,1,1,1,0,1,0,0,1,2,1,1,1,0,1,1,0,-1,2,0,-1
89128,9,0,7,A,4,84,0,1,0,3,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,2,0,1,1,1,1,0,0,-1,-1,-1,-1
89103,32,84,63,A,3.5,70,0,1,1,3,1,0,1,1,1,0,0,0,0,0,1,3,1,0,1,1,0,1,0,0,1,1,0,1,1,1,-1,1,1,-1,-1,-1,-1
89130,43,117,90,A,3,16,2,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,2,0,0,1,1,1,0,0,-1,-1,0,-1
89117,74,36,174,A,2.5,48,0,1,0,3,1,0,1,1,1,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,-1,0,0,-1,3,-1,-1
89117,74,36,174,A,3,61,0,1,0,3,1,0,1,1,0,0,0,0,0,0,1,4,1,0,0,1,0,1,0,0,1,1,0,0,1,1,-1,0,0,0,4,-1,0
89117,74,36,174,A,3,74,0,1,0,3,1,0,1,0,1,0,0,0,0,0,1,5,1,0,0,1,0,0,0,0,1,1,0,0,1,1,-1,0,0,-1,5,-1,0
89117,25,84,51,A,3.5,204,2,1,1,3,1,0,1,1,0,0,0,0,0,0,1,3,1,1,1,1,0,0,0,0,1,2,1,1,1,1,-1,1,1,0,3,-1,1
89102,261,0,579,B,4,1410,2,1,1,3,1,0,1,1,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,1,2,1,1,1,-1,1,0,0,0,2,-1,-1
