violations,rating,drive_thru,good_for_kids,noise_level,restaurants_table_service,accepts_apple_pay,waiter_service,inspection_grade
20,3.5,0,1,1,0,-1,0,A
20,3.0,0,1,2,0,0,0,A
10,2.0,-1,1,0,0,-1,-1,A
10,3.5,-1,1,0,-1,-1,-1,A
54,4.0,-1,1,1,1,0,-1,A
22,3.5,1,1,1,0,-1,0,A
22,2.0,1,1,1,0,-1,0,A
14,3.0,-1,1,0,1,0,-1,B
2,4.0,-1,1,1,-1,-1,-1,A
50,3.5,-1,1,1,1,-1,1,A
24,1.5,-1,1,1,-1,0,-1,A
42,3.0,-1,1,1,1,-1,1,A
3,4.0,-1,1,1,0,-1,-1,A
130,3.5,-1,1,1,0,0,-1,B
56,3.5,-1,1,2,1,0,-1,A
106,4.0,-1,1,1,-1,-1,-1,B
11,4.0,-1,1,1,1,-1,-1,A
1,3.5,0,1,1,0,-1,-1,A
39,4.0,-1,1,0,1,0,1,B
46,1.5,0,1,1,0,-1,-1,B
19,4.0,-1,1,1,1,0,1,A
57,3.0,-1,1,1,0,0,0,A
31,3.0,-1,1,1,0,0,-1,B
27,3.5,-1,1,1,-1,0,-1,A
90,4.0,-1,1,0,0,-1,-1,B
32,3.0,0,1,1,0,-1,-1,B
42,3.5,-1,1,2,0,-1,-1,C
94,4.5,-1,1,1,1,-1,-1,B
26,3.5,-1,1,2,0,0,0,A
57,3.5,-1,1,1,0,0,-1,A
37,2.5,-1,1,1,0,0,-1,B
121,2.5,-1,1,-1,0,-1,-1,B
53,3.5,0,1,1,0,0,0,B
3,3.5,-1,-1,-1,-1,-1,-1,A
14,4.0,-1,1,1,0,-1,-1,A
57,2.5,1,1,1,0,-1,-1,A
57,4.0,-1,1,1,0,0,-1,A
68,3.0,-1,1,1,1,-1,-1,B
23,4.0,-1,1,1,-1,-1,-1,A
1,4.0,-1,1,-1,-1,-1,-1,A
64,4.5,-1,1,1,0,0,0,A
82,3.5,-1,1,1,1,1,-1,A
56,4.0,-1,1,1,0,-1,-1,B
56,3.0,0,1,1,0,-1,0,B
79,4.0,-1,1,1,0,0,0,A
20,3.5,-1,1,1,-1,0,-1,A
32,2.5,-1,0,1,0,-1,0,A
1,4.5,-1,1,-1,1,0,1,A
33,4.0,-1,1,1,1,-1,-1,B
7,2.5,-1,-1,-1,-1,-1,-1,A
142,3.5,-1,1,1,0,0,-1,B
32,3.0,-1,1,1,1,-1,-1,B
50,2.5,-1,1,1,1,-1,-1,A
7,3.5,-1,1,1,1,-1,-1,A
24,4.0,-1,1,1,0,0,-1,A
30,2.5,-1,1,0,0,-1,-1,A
34,4.0,-1,1,0,-1,0,-1,A
18,4.5,-1,1,1,0,1,0,A
39,4.0,-1,1,1,-1,-1,-1,A
132,4.0,-1,1,0,1,0,1,B
21,3.5,-1,-1,1,-1,0,-1,A
25,3.5,-1,1,1,0,0,-1,A
25,3.5,1,1,1,0,0,-1,B
25,3.0,1,1,1,0,0,0,B
70,3.5,-1,1,1,1,0,-1,A
34,2.5,-1,1,0,1,-1,-1,C
6,3.0,-1,1,0,1,-1,-1,A
104,3.5,-1,1,1,1,0,-1,B
135,4.0,-1,1,1,1,0,1,B
24,4.0,-1,1,1,-1,0,-1,A
142,3.5,0,1,0,-1,-1,-1,B
14,4.5,-1,1,0,-1,-1,-1,A
5,4.5,-1,1,1,0,-1,-1,A
22,4.0,-1,1,1,-1,-1,-1,A
20,3.5,-1,1,0,1,-1,-1,A
3,4.0,-1,1,1,-1,-1,-1,A
96,3.5,-1,1,1,1,0,-1,B
37,4.0,-1,1,0,0,1,-1,A
67,2.5,-1,1,1,0,-1,-1,A
25,4.5,-1,0,1,1,0,-1,A
44,3.5,-1,1,0,1,-1,-1,A
46,3.5,-1,1,1,1,-1,-1,B
14,3.5,-1,1,1,0,-1,-1,A
27,3.5,-1,1,1,0,0,0,A
68,4.5,-1,1,1,1,0,1,A
69,4.0,-1,1,0,1,0,-1,B
45,4.0,-1,0,1,1,1,-1,A
26,3.5,-1,0,1,1,-1,-1,A
93,4.0,-1,1,1,0,0,-1,B
74,3.5,-1,1,1,0,0,0,B
45,3.5,-1,1,2,0,0,-1,A
45,4.0,-1,1,1,0,-1,-1,A
46,4.5,-1,1,1,1,0,1,A
35,4.5,-1,1,0,0,-1,-1,A
7,2.5,-1,1,1,-1,-1,-1,B
7,3.5,-1,1,0,0,1,-1,B
7,4.0,-1,1,0,0,0,-1,B
67,3.0,-1,1,0,0,0,-1,B
43,4.5,-1,0,1,-1,-1,-1,A
56,3.5,-1,0,0,1,-1,-1,C
67,4.5,-1,1,1,0,0,-1,A
16,4.5,-1,1,1,-1,0,-1,A
90,2.5,-1,1,1,0,-1,-1,B
85,3.0,-1,1,0,1,1,-1,B
47,3.0,0,1,1,0,0,-1,B
72,3.0,-1,1,1,1,0,1,A
89,4.0,-1,1,1,0,0,-1,B
34,4.5,-1,1,1,-1,-1,-1,B
38,3.5,0,1,1,1,-1,1,A
23,3.5,-1,1,1,0,-1,-1,A
33,2.5,1,1,2,0,0,-1,A
33,3.5,0,1,1,0,-1,-1,A
89,4.0,-1,1,1,0,-1,-1,B
12,2.5,-1,0,-1,-1,-1,-1,A
22,4.0,-1,1,0,1,-1,-1,A
48,4.5,-1,1,1,1,0,1,A
28,2.5,0,1,1,1,-1,-1,A
