zip_code,inspection_score
89014,91.66666667
89030,87.47685185
89032,89.54545455
89101,90.7951557118182
89102,88.63950840648651
89103,89.96359188897436
89104,90.14704148199999
89106,90.38492063499999
89107,90.3472222225
89108,90.89634186882351
89109,91.63815987833333
89110,90.06805743333332
89113,93.279220779
89115,90.55741206785714
89117,92.22174715047618
89118,90.18116838238095
89119,90.02655428441176
89120,89.39675324799998
89121,86.31947219500002
89122,90.72679771142857
89123,90.20590100151514
89124,92.36842105
89128,91.66367401533333
89129,93.71115655307692
89130,91.13032020062501
89131,93.90306122428571
89134,93.43253968166668
89135,93.77289377285716
89139,92.1999975370588
89141,93.23565323666666
89142,88.055555555
89143,91.67857143
89145,92.5993266
89146,88.84738682124998
89147,90.7830917503226
89148,90.53138990583335
89149,93.58101422428571
89156,93.47619047666667
89169,91.00196039125
89178,94.15151515199999
89183,93.32010582111111
